"unixtime","open","high","low","close","volume","date","price","crypto"
1612433400,1.27e-06,1.3e-06,1.27e-06,1.3e-06,13323664,2021-02-04 10:10:00,0.040665391,"Dogecoin"
1612433460,1.29e-06,1.31e-06,1.29e-06,1.31e-06,9354164,2021-02-04 10:11:00,0.0410229382,"Dogecoin"
1612433520,1.3e-06,1.32e-06,1.29e-06,1.3e-06,17840720,2021-02-04 10:12:00,0.040708291,"Dogecoin"
1612433580,1.31e-06,1.31e-06,1.29e-06,1.29e-06,5234496,2021-02-04 10:13:00,0.040360617,"Dogecoin"
1612433640,1.3e-06,1.3e-06,1.28e-06,1.28e-06,5331056,2021-02-04 10:14:00,0.0400671232,"Dogecoin"
1612433700,1.28e-06,1.29e-06,1.28e-06,1.29e-06,6129300,2021-02-04 10:15:00,0.0403750392,"Dogecoin"
1612433760,1.28e-06,1.3e-06,1.28e-06,1.29e-06,5108637,2021-02-04 10:16:00,0.0403881327,"Dogecoin"
1612433820,1.29e-06,1.31e-06,1.29e-06,1.31e-06,4976069,2021-02-04 10:17:00,0.0410639543,"Dogecoin"
1612433880,1.3e-06,1.31e-06,1.29e-06,1.3e-06,4580841,2021-02-04 10:18:00,0.040780129,"Dogecoin"
1612433940,1.31e-06,1.32e-06,1.3e-06,1.31e-06,11147835,2021-02-04 10:19:00,0.0410555834,"Dogecoin"
1612434000,1.31e-06,1.31e-06,1.3e-06,1.31e-06,3761625,2021-02-04 10:20:00,0.0410335099,"Dogecoin"
1612434060,1.31e-06,1.31e-06,1.29e-06,1.31e-06,10309597,2021-02-04 10:21:00,0.0409970395,"Dogecoin"
1612434120,1.31e-06,1.31e-06,1.3e-06,1.31e-06,2435480,2021-02-04 10:22:00,0.0408641531,"Dogecoin"
1612434180,1.3e-06,1.32e-06,1.3e-06,1.32e-06,11415356,2021-02-04 10:23:00,0.041145324,"Dogecoin"
1612434240,1.32e-06,1.33e-06,1.31e-06,1.33e-06,13467207,2021-02-04 10:24:00,0.0415511152,"Dogecoin"
1612434300,1.33e-06,1.34e-06,1.32e-06,1.34e-06,7114755,2021-02-04 10:25:00,0.041958482,"Dogecoin"
1612434360,1.34e-06,1.34e-06,1.32e-06,1.33e-06,10907331,2021-02-04 10:26:00,0.0416405976,"Dogecoin"
1612434420,1.33e-06,1.33e-06,1.32e-06,1.32e-06,3137522,2021-02-04 10:27:00,0.04131798,"Dogecoin"
1612434480,1.33e-06,1.33e-06,1.31e-06,1.31e-06,7593887,2021-02-04 10:28:00,0.0409809789,"Dogecoin"
1612434540,1.32e-06,1.33e-06,1.31e-06,1.31e-06,6378454,2021-02-04 10:29:00,0.0410282568,"Dogecoin"
