"ticker","baseCurrency","quoteCurrency","date","open","high","low","close","volume","volumeNotional","tradesDone","crypto","n","price"
"btceur","btc","eur",2021-01-28 11:01:00,26047.9683968397,26050.2631405998,25953.5769130259,25953.5769130259,3.91520427,101613.555151653,66,"Bitcoin",2,26050.2631405998
"btceur","btc","eur",2021-01-28 11:02:00,25975.8174600021,25994.4584182467,25962.3615268723,25984.8302490016,1.5886442,41280.649863061,35,"Bitcoin",2,25994.4584182467
"btceur","btc","eur",2021-01-28 11:03:00,25987.5642096931,26009.0184430581,25956.1475930001,26009.0184430581,1.37334627,35719.388465135,92,"Bitcoin",2,26009.0184430581
"btceur","btc","eur",2021-01-28 11:04:00,26010.5875217943,26056.5755147326,26002.2726315736,26021.3212460391,0.910654470000001,23696.4325080115,184,"Bitcoin",2,26056.5755147326
"btceur","btc","eur",2021-01-28 11:05:00,26029.7314228104,26066.1207008605,26001.6895992994,26005.2617675377,6.9535153,180827.985581079,154,"Bitcoin",2,26066.1207008605
"btceur","btc","eur",2021-01-28 11:06:00,26022.9674293419,26065.8012377507,26022.9674293419,26062.5611749649,1.34198454,34975.5541696071,121,"Bitcoin",2,26065.8012377507
"btceur","btc","eur",2021-01-28 11:07:00,26059.7113902374,26084.6356059409,26042.101041852,26052.5706868675,2.32734553,60633.3339330901,82,"Bitcoin",2,26084.6356059409
"btceur","btc","eur",2021-01-28 11:09:00,26030.9,26047.85,26012.61,26021.99,1.62485691,42282.0102634509,29,"Bitcoin",2,26047.85
"btceur","btc","eur",2021-01-28 11:10:00,26023.3635228745,26080.3449944338,26015.5804884175,26075.8966629559,0.96030945,25040.92998266,65,"Bitcoin",2,26080.3449944338
"btceur","btc","eur",2021-01-28 11:11:00,26069.5743892208,26078.5379095099,26055.4394941903,26065.1139022957,0.76902752,20044.7899028,38,"Bitcoin",2,26078.5379095099
"btceur","btc","eur",2021-01-28 11:12:00,26063.3820783295,26086.5208075468,26059.4401958768,26076.0354485346,0.91028635,23736.6591309172,39,"Bitcoin",2,26086.5208075468
"btceur","btc","eur",2021-01-28 11:13:00,26082.0099767337,26113.9940889802,26046.9635960301,26059.5939647532,8.63219061,224951.382322955,273,"Bitcoin",2,26113.9940889802
"btceur","btc","eur",2021-01-28 11:14:00,26058.0305773878,26058.6504480593,26038.1947159015,26050.2868198953,0.97712529,25454.3940634733,28,"Bitcoin",2,26058.6504480593
"btceur","btc","eur",2021-01-28 11:15:00,26043.4063210237,26070.3415432818,26036.1042810072,26051.0760727641,0.63894384,16645.174582064,30,"Bitcoin",2,26070.3415432818
"btceur","btc","eur",2021-01-28 11:16:00,26051.0871433192,26055.3412975996,26012.4883672006,26019.2523047345,2.68977946,69986.0504138325,42,"Bitcoin",2,26055.3412975996
"btceur","btc","eur",2021-01-28 11:17:00,26030.1279063707,26051.9382440584,26026.4828636711,26050.969561478,0.29081161,7575.9244002344,20,"Bitcoin",2,26051.9382440584
"btceur","btc","eur",2021-01-28 11:18:00,26042.9823821446,26059.4737518694,26024.3610071108,26038.5625936951,2.53107974,65905.6782396234,54,"Bitcoin",2,26059.4737518694
"btceur","btc","eur",2021-01-28 11:19:00,26036.34,26047.41,26025.45,26026.49,1.03373751,26904.5589666399,32,"Bitcoin",2,26047.41
"btceur","btc","eur",2021-01-28 11:20:00,26029.4,26054.53,26017.1,26023.08,1.01423896,26393.6215951968,44,"Bitcoin",2,26054.53
"btceur","btc","eur",2021-01-28 11:21:00,26021.56,26031.56,25983.26,26010.15,0.82884886,21558.483175929,37,"Bitcoin",2,26031.56
"btceur","btc","eur",2021-01-28 11:22:00,26018.7152919229,26045.0397860311,26003.447986903,26027.9738897033,0.33055735,8603.7380748495,38,"Bitcoin",2,26045.0397860311
"btceur","btc","eur",2021-01-28 11:23:00,26018.1,26023.51,26002.75,26005.91,1.18758256,30884.1651729296,22,"Bitcoin",2,26023.51
"btceur","btc","eur",2021-01-28 11:24:00,25988.8710704627,26001.0837670823,25928.1939470028,25954.3664387088,2.72962818,70845.7700251458,111,"Bitcoin",2,26001.0837670823
"btceur","btc","eur",2021-01-28 11:25:00,25949.0958566021,25984.9299160113,25942.8004139284,25960.8073785283,1.09488012,28423.9718979,26,"Bitcoin",2,25984.9299160113
"btceur","btc","eur",2021-01-28 11:26:00,25968.9062709583,25983.2224516202,25957.3061677189,25967.9615483765,5.68061908,147514.097840414,54,"Bitcoin",2,25983.2224516202
"btceur","btc","eur",2021-01-28 11:27:00,25958.53,25979.21,25952.79,25957.22,0.21446185,5566.833422057,26,"Bitcoin",2,25979.21
"btceur","btc","eur",2021-01-28 11:28:00,25963.1705962377,25966.0171301785,25919.132616253,25960.173688493,0.44861991,11646.2507837161,54,"Bitcoin",2,25966.0171301785
"btceur","btc","eur",2021-01-28 11:29:00,25940.81,25976.55,25940.81,25960.43,2.18981444,56848.5244826092,14,"Bitcoin",2,25976.55
"btceur","btc","eur",2021-01-28 11:30:00,25947.0444688192,25948.2358729422,25915.6314549178,25927.0334326874,0.86242522,22360.1275121328,58,"Bitcoin",2,25948.2358729422
"btceur","btc","eur",2021-01-28 11:31:00,25926.4038005464,25950.1432549463,25922.3192062282,25935.8499212037,0.65579349,17008.5615359424,31,"Bitcoin",2,25950.1432549463
"btceur","btc","eur",2021-01-28 11:32:00,25930.6407269757,25930.6407269757,25904.4396828004,25909.5593663954,0.86080447,22303.0645183235,61,"Bitcoin",2,25930.6407269757
"btceur","btc","eur",2021-01-28 11:33:00,25910.6945734474,25964.0043305168,25908.7253051371,25925.063726337,0.33142467,8592.2056902302,39,"Bitcoin",2,25964.0043305168
"btceur","btc","eur",2021-01-28 11:34:00,25942.87,25945.42,25917.59,25944.25,1.29274025,33539.1762310625,28,"Bitcoin",2,25945.42
"btceur","btc","eur",2021-01-28 11:35:00,25937.1965799697,25954.934568,25900.156805514,25927.4656503952,0.93558134,24257.2530560007,85,"Bitcoin",2,25954.934568
"btceur","btc","eur",2021-01-28 11:36:00,25930.6547868492,25942.5692417477,25911.7793637281,25923.2989727187,2.78195862,72117.545035992,41,"Bitcoin",2,25942.5692417477
"btceur","btc","eur",2021-01-28 11:37:00,25927.2184706261,25988.0890849516,25924.2420879306,25988.0890849516,1.47543261,38343.6741075227,26,"Bitcoin",2,25988.0890849516
"btceur","btc","eur",2021-01-28 11:38:00,25997.43,25997.43,25956.46,25967.77,1.32802453,34485.8355493981,27,"Bitcoin",2,25997.43
"btceur","btc","eur",2021-01-28 11:39:00,25945.6,25953.5,25920.06,25952.25,0.96498134,25043.436981015,26,"Bitcoin",2,25953.5
"btceur","btc","eur",2021-01-28 11:40:00,25945.1526780167,25954.0199369878,25923.7392691467,25949.5057592526,1.38862094,36034.0270799488,46,"Bitcoin",2,25954.0199369878
"btceur","btc","eur",2021-01-28 11:41:00,25942.706985583,25951.8313020551,25927.6988917861,25949.9322111002,0.84389461,21899.0079228128,17,"Bitcoin",2,25951.8313020551
"btceur","btc","eur",2021-01-28 11:42:00,25947.1552951914,25959.0753814151,25938.2175028735,25946.0204207988,0.79097773,20522.7243349771,24,"Bitcoin",2,25959.0753814151
"btceur","btc","eur",2021-01-28 11:43:00,25956.3343776091,25964.0345644361,25938.0325393917,25949.3976942405,0.77713279,20166.1278289447,36,"Bitcoin",2,25964.0345644361
"btceur","btc","eur",2021-01-28 11:44:00,25940.3844995181,25971.333207366,25934.6351157047,25956.0806872864,1.14198617,29641.4851722852,56,"Bitcoin",2,25971.333207366
"btceur","btc","eur",2021-01-28 11:45:00,25934.8110575136,25993.2850224414,25927.0657353354,25961.0657408323,1.97335043,51230.2802429298,143,"Bitcoin",2,25993.2850224414
"btceur","btc","eur",2021-01-28 11:46:00,25945.3324373283,25956.6385298398,25899.5985226316,25900,1.58049275,40934.762225,116,"Bitcoin",2,25956.6385298398
"btceur","btc","eur",2021-01-28 11:47:00,25898.47,25915.31,25889.56,25897.81,0.18317677,4743.8771858737,18,"Bitcoin",2,25915.31
"btceur","btc","eur",2021-01-28 11:48:00,25911.5903296701,25922.5820688318,25838.3985006645,25840.6120334483,3.10955895,80352.9064220869,110,"Bitcoin",2,25922.5820688318
"btceur","btc","eur",2021-01-28 11:49:00,25857.9040150205,25868.3163782255,25821.2093153364,25831.0817574351,0.71281754,18412.8481538738,67,"Bitcoin",2,25868.3163782255
