"ticker","date","open","high","low","close","volume"
"TSLA",2020-05-01 15:53:00,686.02,690.64,685.12,687.52,1178
"TSLA",2020-05-01 15:54:00,685.5,693.28,683.34,693.28,1076
"TSLA",2020-05-01 15:55:00,693.02,697.43,690.98,696.36,2309
"TSLA",2020-05-01 15:56:00,695.13,697.31,693.3,696.23,1912
"TSLA",2020-05-01 15:57:00,696.49,696.7,690,690,2115
"TSLA",2020-05-01 15:58:00,690,695.025,690,694.73,1385
"TSLA",2020-05-01 15:59:00,692.065,700.46,691,700.46,2869
"TSLA",2020-05-01 16:00:00,699.2,699.2,695.06,697.53,764
"TSLA",2020-05-01 16:01:00,692.81,694.72,690.86,690.86,2845
"TSLA",2020-05-01 16:02:00,690.93,694.82,690.93,692.35,1043
"TSLA",2020-05-01 16:03:00,692.79,693.61,689.77,689.77,1850
"TSLA",2020-05-01 16:04:00,690.01,690.01,686.22,686.26,928
"TSLA",2020-05-01 16:05:00,687.75,695.73,687.69,694.54,1152
"TSLA",2020-05-01 16:06:00,693.51,694.3,690.23,690.23,1330
"TSLA",2020-05-01 16:07:00,692.21,695.36,692,692,2406
"TSLA",2020-05-01 16:08:00,690.62,690.62,687.48,688.375,606
"TSLA",2020-05-01 16:09:00,690.21,694,690.21,691.86,1085
"TSLA",2020-05-01 16:10:00,692.195,694.67,692.195,693.99,1339
"TSLA",2020-05-01 16:11:00,694.48,698.93,694.48,696.615,715
"TSLA",2020-05-01 16:12:00,697.4,700.345,694.87,700.09,3064
"TSLA",2020-05-01 16:13:00,700.97,705.76,700.35,704.26,5890
"TSLA",2020-05-01 16:14:00,704.31,705.5,701.455,705.5,1885
"TSLA",2020-05-01 16:15:00,707,707.41,705.16,706.13,3350
"TSLA",2020-05-01 16:16:00,702.235,702.59,700.07,700.165,2297
"TSLA",2020-05-01 16:17:00,700.72,702.98,700.72,702.745,983
"TSLA",2020-05-01 16:18:00,703.745,704.25,701.07,702,983
"TSLA",2020-05-01 16:19:00,702.44,706.4,702.44,706.35,1420
"TSLA",2020-05-01 16:20:00,707,711.445,705.19,711.37,2196
"TSLA",2020-05-01 16:21:00,711.45,712,708.07,711.99,3108
"TSLA",2020-05-01 16:22:00,710.99,712.88,708.03,709.63,2902
"TSLA",2020-05-01 16:23:00,709.93,715,709.46,715,2819
"TSLA",2020-05-01 16:24:00,714.72,716.78,713.26,715.44,7481
"TSLA",2020-05-01 16:25:00,714.68,717.39,714.68,716.91,2118
"TSLA",2020-05-01 16:26:00,714.96,715.28,710.9,710.9,3237
